frame,sign,kx,ky,sbxframe
5130,-1,-11,12,1451
5145,1,6,11,1455
5160,-1,-11,10,1459
5175,1,1,-9,1463
5190,-1,-4,-8,1467
5205,1,10,-6,1471
5220,1,-8,9,1474
5235,-1,0,10,1478
5250,-1,-9,9,1482
5265,-1,2,-6,1486
5280,-1,-6,-5,1490
5295,1,-3,10,1494
5310,1,-1,7,1498
5325,-1,12,-5,1501
5340,1,-8,3,1505
5355,1,0,-5,1509
5370,-1,-4,-10,1513
5385,-1,-12,3,1517
5400,1,11,3,1521
5415,1,6,4,1525
5430,1,3,-11,1529
5445,1,7,-3,1532
5460,1,1,10,1536
5475,1,11,-10,1540
5490,-1,6,11,1544
5505,1,-4,-6,1548
5520,-1,0,-1,1552
5535,-1,0,6,1556
5550,1,2,-6,1559
5565,-1,6,-3,1563
5580,-1,-1,-7,1567
5595,1,-4,1,1571
5610,-1,-4,11,1575
5625,-1,-5,-8,1579
5640,-1,2,1,1583
5655,1,-9,12,1587
5670,-1,8,3,1590
5685,1,-8,-6,1594
5700,1,-7,-7,1598
5715,-1,-11,4,1602
5730,1,-8,-4,1606
5745,-1,10,11,1610
5760,1,-8,-9,1614
5775,1,-1,-10,1618
5790,-1,9,3,1621
5805,1,-10,7,1625
5820,-1,-6,-9,1629
5835,1,6,12,1633
5850,1,-9,1,1637
5865,1,7,-12,1641
5880,-1,-10,5,1645
5895,1,5,9,1648
5910,-1,-2,6,1652
5925,-1,9,11,1656
5940,-1,-8,9,1660
5955,1,-5,7,1664
5970,1,-5,-1,1668
5985,1,10,8,1672
6000,-1,-3,-10,1676
6015,1,-2,-6,1679
6030,1,4,-10,1683
6045,1,-11,-10,1687
6060,1,-2,5,1691
6075,-1,8,11,1695
6090,-1,-12,9,1699
6105,-1,5,-7,1703
6120,-1,-3,7,1706
6135,1,-11,0,1710
6150,1,-1,-5,1714
6165,-1,-11,-4,1718
6180,-1,-1,8,1722
6195,1,-2,-12,1726
6210,-1,7,-10,1730
6225,1,-4,7,1734
6240,1,2,11,1737
6255,1,10,-8,1741
6270,-1,7,12,1745
6285,-1,-5,9,1749
6300,-1,-10,-10,1753
6315,1,-10,-5,1757
6330,1,5,-11,1761
6345,1,5,-10,1764
6360,1,0,-10,1768
6375,1,2,-1,1772
6390,1,1,1,1776
6405,1,0,0,1780
6420,-1,-8,-4,1784
6435,1,7,7,1788
6450,-1,8,-1,1792
6465,-1,-11,7,1795
6480,1,-8,8,1799
6495,-1,9,2,1803
6510,-1,11,8,1807
6525,1,5,-7,1811
6540,-1,11,11,1815
6555,1,-3,3,1819
6570,-1,10,10,1822
6585,-1,-12,10,1826
6600,-1,-9,5,1830
6615,1,12,1,1834
6630,1,8,-5,1838
6645,1,6,-12,1842
6660,1,-10,5,1846
6675,-1,2,2,1850
6690,1,11,-3,1853
6705,1,-8,10,1857
6720,1,2,6,1861
6735,1,-9,6,1865
6750,-1,-12,-9,1869
6765,-1,-2,-8,1873
6780,1,-4,0,1877
6795,-1,9,-10,1881
6810,-1,8,11,1884
6825,-1,6,4,1888
6840,-1,4,-6,1892
6855,-1,11,3,1896
6870,1,9,0,1900
6885,-1,-7,9,1904
6900,1,-6,-7,1908
6915,1,-2,-7,1911
6930,-1,-9,6,1915
6945,1,-3,1,1919
6960,1,-6,3,1923
6975,1,4,-7,1927
6990,1,2,12,1931
7005,1,-5,10,1935
