frame,sign,kx,ky,sbxframe
9375,1,-4,-12,2545
9390,1,12,-5,2549
9405,1,-12,-3,2553
9420,1,-7,11,2557
9435,-1,8,-9,2560
9450,-1,1,-7,2564
9465,-1,7,-2,2568
9480,-1,-9,3,2572
9495,-1,-6,4,2576
9510,-1,8,-9,2580
9525,-1,1,-2,2584
9540,1,-2,1,2587
9555,1,1,4,2591
9570,1,-4,-11,2595
9585,-1,-7,-7,2599
9600,-1,-8,9,2603
9615,-1,-6,7,2607
9630,1,4,9,2611
9645,1,-3,-11,2615
9660,-1,-3,-4,2618
9675,-1,-12,-2,2622
9690,1,-2,0,2626
9705,-1,-7,-1,2630
9720,1,-5,-8,2634
9735,1,3,6,2638
9750,1,-4,-10,2642
9765,1,-4,4,2646
9780,-1,5,3,2649
9795,1,-3,-3,2653
9810,1,-11,-1,2657
9825,1,4,-2,2661
9840,1,-5,-7,2665
9855,-1,-1,-10,2669
9870,-1,5,4,2673
9885,1,-3,4,2676
9900,-1,-7,4,2680
9915,1,-4,5,2684
9930,-1,-10,9,2688
9945,1,-1,-11,2692
9960,-1,11,6,2696
9975,-1,7,12,2700
9990,1,-5,-5,2704
10005,1,-6,8,2707
10020,-1,1,7,2711
10035,1,11,0,2715
10050,1,2,-12,2719
10065,1,6,-9,2723
10080,1,10,-7,2727
10095,-1,4,-6,2731
10110,-1,4,-9,2734
10125,-1,-2,6,2738
10140,1,-11,1,2742
10155,-1,9,9,2746
10170,1,6,2,2750
10185,-1,7,6,2754
10200,-1,3,-3,2758
10215,1,-1,-4,2762
10230,1,2,1,2765
10245,1,0,-2,2769
10260,1,3,1,2773
10275,1,-3,-8,2777
10290,1,3,6,2781
10305,-1,4,-11,2785
10320,1,-5,1,2789
10335,-1,-12,8,2792
10350,-1,-8,1,2796
10365,-1,6,5,2800
10380,-1,-8,10,2804
10395,1,11,5,2808
10410,-1,12,-10,2812
10425,-1,0,7,2816
10440,1,2,2,2820
10455,1,-11,-12,2823
10470,1,-10,-9,2827
10485,1,-8,1,2831
10500,1,0,11,2835
10515,-1,-8,6,2839
10530,-1,8,1,2843
10545,1,-6,-7,2847
10560,-1,6,6,2850
10575,-1,-4,4,2854
10590,-1,-1,-3,2858
10605,1,6,5,2862
10620,1,-12,2,2866
10635,1,6,6,2870
10650,-1,0,-6,2874
10665,-1,-7,6,2878
10680,1,0,-5,2881
10695,1,0,-2,2885
10710,1,9,11,2889
10725,-1,-1,1,2893
10740,1,-10,5,2897
10755,1,-9,8,2901
10770,-1,2,-9,2905
10785,-1,-9,-8,2909
10800,-1,2,3,2912
10815,-1,7,3,2916
10830,-1,-10,2,2920
10845,-1,-1,-5,2924
10860,1,0,6,2928
10875,1,-7,5,2932
10890,1,-9,-10,2936
10905,-1,10,9,2939
10920,-1,10,11,2943
10935,1,-4,1,2947
10950,-1,8,3,2951
10965,1,7,6,2955
10980,-1,12,-10,2959
10995,1,-3,-4,2963
11010,1,2,7,2967
11025,1,7,-8,2970
11040,1,-6,3,2974
11055,-1,-12,-10,2978
11070,-1,3,-9,2982
11085,1,6,1,2986
11100,1,-1,8,2990
11115,-1,11,-7,2994
11130,-1,-9,2,2997
11145,1,-8,2,3001
11160,-1,-2,0,3005
11175,1,-2,3,3009
11190,-1,-12,-2,3013
11205,-1,-6,-4,3017
11220,-1,0,7,3021
11235,-1,-8,2,3025
11250,-1,6,10,3028
11265,-1,9,-7,3032
11280,1,-11,-4,3036
11295,-1,7,1,3040
11310,-1,2,-3,3044
11325,-1,6,5,3048
11340,-1,-12,7,3052
11355,1,-8,-5,3055
11370,1,-5,-5,3059
11385,1,-2,6,3063
11400,-1,8,12,3067
11415,1,3,8,3071
11430,-1,-7,9,3075
11445,1,9,2,3079
11460,1,9,6,3083
11475,1,-6,3,3086
11490,1,-9,12,3090
11505,-1,-10,-9,3094
11520,1,8,-6,3098
11535,-1,-10,-4,3102
11550,1,-8,-2,3106
11565,1,-12,-4,3110
11580,-1,-4,-5,3113
11595,1,-3,8,3117
11610,-1,-8,-4,3121
11625,-1,-3,-6,3125
11640,1,-12,4,3129
11655,-1,-3,-9,3133
11670,1,4,7,3137
11685,-1,-3,-5,3141
11700,-1,9,10,3144
11715,1,1,-10,3148
11730,-1,6,5,3152
11745,1,7,8,3156
11760,1,1,5,3160
11775,-1,6,-9,3164
11790,-1,-12,-8,3168
11805,1,8,6,3172
11820,-1,1,7,3175
11835,-1,-3,5,3179
11850,1,12,8,3183
11865,-1,5,-11,3187
11880,1,4,-12,3191
11895,-1,6,8,3195
11910,1,-9,9,3199
11925,1,5,2,3202
11940,1,9,-10,3206
11955,1,0,-1,3210
11970,1,7,-7,3214
11985,-1,-1,-8,3218
12000,1,-2,4,3222
12015,-1,-11,-5,3226
12030,-1,9,0,3230
12045,1,-1,-7,3233
12060,-1,5,1,3237
12075,1,2,-10,3241
12090,1,-11,-6,3245
12105,-1,-8,-7,3249
12120,-1,-10,-6,3253
12135,1,-5,3,3257
12150,-1,-9,8,3260
12165,1,6,8,3264
12180,-1,7,4,3268
12195,-1,-9,-8,3272
12210,-1,-11,-4,3276
12225,-1,-8,-4,3280
12240,-1,-8,10,3284
12255,1,0,3,3288
12270,-1,-10,5,3291
12285,-1,7,-12,3295
12300,-1,-6,-3,3299
12315,1,10,-9,3303
12330,-1,12,1,3307
12345,-1,-4,12,3311
12360,-1,-4,10,3315
12375,-1,7,7,3318
12390,1,12,-9,3322
12405,1,-12,-4,3326
12420,-1,-3,-3,3330
12435,-1,0,12,3334
12450,1,7,9,3338
12465,1,10,6,3342
12480,-1,-2,4,3346
12495,-1,1,4,3349
12510,-1,-7,-9,3353
12525,-1,0,7,3357
12540,1,4,5,3361
12555,-1,11,4,3365
12570,-1,6,10,3369
12585,-1,-6,-7,3373
12600,-1,-11,1,3376
12615,-1,-8,-2,3380
12630,-1,-12,4,3384
12645,-1,5,3,3388
12660,-1,1,12,3392
12675,-1,2,5,3396
12690,-1,-1,-12,3400
12705,1,1,-2,3404
12720,1,1,-9,3407
12735,1,0,9,3411
12750,1,7,3,3415
12765,1,11,-12,3419
12780,1,-2,2,3423
12795,1,-5,4,3427
12810,-1,-8,0,3431
12825,1,9,7,3435
12840,-1,-9,-6,3438
12855,1,-5,5,3442
12870,-1,-1,8,3446
12885,-1,12,-9,3450
12900,-1,10,-8,3454
12915,-1,0,-2,3458
12930,-1,12,0,3462
12945,-1,5,3,3465
12960,-1,-7,2,3469
12975,1,9,12,3473
12990,1,6,0,3477
13005,1,6,-6,3481
13020,-1,-8,0,3485
